new_path,topic,year,author,title,original_path
01_Sceletium_Pharmacology/2020 - Sceletium tortuosum (Zembrin®) ameliorates experimentally induced anxiety in ....pdf,01_Sceletium_Pharmacology,2020,,Sceletium tortuosum (Zembrin®) ameliorates experimentally induced anxiety in healthy volunteers,DRAFTSS_Working/Reay_2020_iSceletium tortuosum-i (Zembrin sup®-sup ) ameliorates experimentally.pdf
01_Sceletium_Pharmacology/2023 - Royston A 2023 (52) Kh 001 but Not Other Tested Alkaloids Derived from Scelet....pdf,01_Sceletium_Pharmacology,2023,,,DRAFTSS_Working/Royston A_2023_(52) Kh-001 but Not Other Tested Alkaloids Derived from Sceletium Tortuosum.pdf
01_Sceletium_Pharmacology/2012 - pmV0623 260..268.pdf,01_Sceletium_Pharmacology,2012,,pmV0623 260..268,DRAFTSS_Working/Shikanga_2011_In Vitro Permeation of Mesembrine Alkaloids from Sceletium tortuosum across.pdf
01_Sceletium_Pharmacology/2023 - Stafford - Skeletons in the closet – Using a bibliometric lens to visualise phytochemic....pdf,01_Sceletium_Pharmacology,2023,Dr. GI Stafford,"Skeletons in the closet? – Using a bibliometric lens to visualise phytochemical and pharmacological activities linked to Sceletium, a mood enhancer",DRAFTSS_Working/Stafford_Skeletons in the closet.pdf
06_Related_Compounds/2013 - Correlates of hyperdiversity in southern African ice plants (Aizoaceae).pdf,06_Related_Compounds,2013,,Correlates of hyperdiversity in southern African ice plants (Aizoaceae),DRAFTSS_Working/Valente_2014_Correlates of hyperdiversity in southern African ice plants (Aizoaceae).pdf
02_Ethnopharmacology/2011 - Viljoen - South African Herbal Pharmacopoeia Monographs of Medicinal and Aromatic Plants.pdf,02_Ethnopharmacology,2011,Alvaro Viljoen,The South African Herbal Pharmacopoeia: Monographs of Medicinal and Aromatic Plants,Other_Collections/Alvaro Viljoen - 2023 - The South African Herbal Pharmacopoeia. Monographs.pdf
02_Ethnopharmacology/2011 - Viljoen - South African Herbal Pharmacopoeia Monographs of Medicinal and Aromatic Plants_1.pdf,02_Ethnopharmacology,2011,Alvaro Viljoen,The South African Herbal Pharmacopoeia: Monographs of Medicinal and Aromatic Plants,Other_Collections/Alvaro Viljoen The South African Herbal Pharmacopoeia Monographs.pdf
"03_PDE4_Neurogenesis/2021 - Avchalumov - Plasticity in the Hippocampus, Neurogenesis and Drugs of Abuse.pdf",03_PDE4_Neurogenesis,2021,Yosef Avchalumov and Chitra D. Mandyam,"Plasticity in the Hippocampus, Neurogenesis and Drugs of Abuse","Other_Collections/Avchalumov and Mandyam - 2021 - Plasticity in the Hippocampus, Neurogenesis and Dr 2.pdf"
"03_PDE4_Neurogenesis/2021 - Avchalumov - Plasticity in the Hippocampus, Neurogenesis and Drugs of Abuse_1.pdf",03_PDE4_Neurogenesis,2021,Yosef Avchalumov and Chitra D. Mandyam,"Plasticity in the Hippocampus, Neurogenesis and Drugs of Abuse","Other_Collections/Avchalumov and Mandyam - 2021 - Plasticity in the Hippocampus, Neurogenesis and Dr-1.pdf"
01_Sceletium_Pharmacology/2018 - Bennett - Immunomodulatory effects of Sceletium tortuosum (Trimesemine) elucidated in ....pdf,01_Sceletium_Pharmacology,2018,Amber C. Bennett,"Immunomodulatory effects of Sceletium tortuosum (Trimesemine"") elucidated in vitro_ Implications for chronic disease",Other_Collections/Bennett and Smith - 2018 - Immunomodulatory effects of Sceletium tortuosum (T.pdf
01_Sceletium_Pharmacology/2018 - Bennett - Sceletium tortuosum may delay chronic disease progression via alkaloid-depend....pdf,01_Sceletium_Pharmacology,2018,A.C. Bennett,Sceletium tortuosum may delay chronic disease progression via alkaloid-dependent antioxidant or anti-inflammatory action,Other_Collections/Bennett et al. - 2018 - Sceletium tortuosum may delay chronic disease prog.pdf
03_PDE4_Neurogenesis/2020 - Bhat - Phosphodiesterase-4 enzyme as a therapeutic target in neurological disorders.pdf,03_PDE4_Neurogenesis,2020,Abid Bhat,Phosphodiesterase-4 enzyme as a therapeutic target in neurological disorders,Other_Collections/Bhat et al. - 2020 - Phosphodiesterase-4 enzyme as a therapeutic target.pdf
03_PDE4_Neurogenesis/2017 - Bolger   2017   The PDE4 cAMP Specific Phosphodiesterases Targets.pdf,03_PDE4_Neurogenesis,2017,,,Other_Collections/Bolger - 2017 - The PDE4 cAMP-Specific Phosphodiesterases Targets.pdf
05_Khoi_San_Traditional/2022 - fphar-2022-895286 1..38.pdf,05_Khoi_San_Traditional,2022,,fphar-2022-895286 1..38,Other_Collections/Bonokwane et al. - 2022 - Antidepressant Effects of South African Plants An-1.pdf
05_Khoi_San_Traditional/2022 - fphar-2022-895286 1..38_1.pdf,05_Khoi_San_Traditional,2022,,fphar-2022-895286 1..38,Other_Collections/Bonokwane et al. - 2022 - Antidepressant Effects of South African Plants An.pdf
01_Sceletium_Pharmacology/2021 - Khan - Brendler 2020-0332-MS.pdf,01_Sceletium_Pharmacology,2021,Faraz Khan,Brendler 2020-0332-MS,"Other_Collections/Brendler et al. - 2021 - Sceletium for Managing Anxiety, Depression and Cog 2-1.pdf"
02_Ethnopharmacology/2020 - Brunetti - Pharmacology of Herbal Sexual Enhancers A Review of Psychiatric and Neurolog....pdf,02_Ethnopharmacology,2020,"Pietro Brunetti, Alfredo Fabrizio Lo Faro, Anastasio Tini, Francesco Paolo Busardò and Jeremy Carlier",Pharmacology of Herbal Sexual Enhancers: A Review of Psychiatric and Neurological Adverse Effects,Other_Collections/Brunetti et al Pharmacology of Herbal Sexual Enhancers A Review.pdf
02_Ethnopharmacology/2020 - Brunetti - Pharmacology of Herbal Sexual Enhancers A Review of Psychiatric and Neurolog..._1.pdf,02_Ethnopharmacology,2020,"Pietro Brunetti, Alfredo Fabrizio Lo Faro, Anastasio Tini, Francesco Paolo Busardò and Jeremy Carlier",Pharmacology of Herbal Sexual Enhancers: A Review of Psychiatric and Neurological Adverse Effects,Other_Collections/Brunetti et al. - 2020 - Pharmacology of Herbal Sexual Enhancers A Review  2-1.pdf
02_Ethnopharmacology/2020 - Brunetti - Pharmacology of Herbal Sexual Enhancers A Review of Psychiatric and Neurolog..._1.pdf,02_Ethnopharmacology,2020,"Pietro Brunetti, Alfredo Fabrizio Lo Faro, Anastasio Tini, Francesco Paolo Busardò and Jeremy Carlier",Pharmacology of Herbal Sexual Enhancers: A Review of Psychiatric and Neurological Adverse Effects,Other_Collections/Brunetti et al. - 2020 - Pharmacology of Herbal Sexual Enhancers A Review  2.pdf
01_Sceletium_Pharmacology/2003 - Capps et al.   1977   Sceletium alkaloids. Part 7. Structure and absolut 1.pdf,01_Sceletium_Pharmacology,2003,,,Other_Collections/Capps et al. - 1977 - Sceletium alkaloids. Part 7. Structure and absolut-1.pdf
01_Sceletium_Pharmacology/2003 - Capps et al.   1977   Sceletium alkaloids. Part 7. Structure and absolut.pdf,01_Sceletium_Pharmacology,2003,,,Other_Collections/Capps et al. - 1977 - Sceletium alkaloids. Part 7. Structure and absolut.pdf
01_Sceletium_Pharmacology/2019 - To ferment or not to ferment Sceletium tortuosum - Do our ancestors hold the ....pdf,01_Sceletium_Pharmacology,2019,,To ferment or not to ferment Sceletium tortuosum - Do our ancestors hold the answer?,Other_Collections/Chen and Viljoen - 2019 - To ferment or not to ferment Sceletium tortuosum –-1.pdf
01_Sceletium_Pharmacology/2019 - To ferment or not to ferment Sceletium tortuosum - Do our ancestors hold the ..._1.pdf,01_Sceletium_Pharmacology,2019,,To ferment or not to ferment Sceletium tortuosum - Do our ancestors hold the answer?,Other_Collections/Chen and Viljoen - 2019 - To ferment or not to ferment Sceletium tortuosum –.pdf
04_Clinical_Trials/2015 - wemyss - Chiu and Raheb   2015   Exploring Zembrin Extract Derived from South Afric 1.pdf,04_Clinical_Trials,2015,wemyss,,Other_Collections/Chiu and Raheb - 2015 - Exploring Zembrin Extract Derived from South Afric-1.pdf
04_Clinical_Trials/2015 - wemyss - Chiu and Raheb   2015   Exploring Zembrin Extract Derived from South Afric.pdf,04_Clinical_Trials,2015,wemyss,,Other_Collections/Chiu and Raheb - 2015 - Exploring Zembrin Extract Derived from South Afric.pdf
04_Clinical_Trials/2015 - Chiu et al.   2014   Proof of Concept Randomized Controlled Study of Co 1.pdf,04_Clinical_Trials,2015,,,Other_Collections/Chiu et al. - 2014 - Proof-of-Concept Randomized Controlled Study of Co-1.pdf
04_Clinical_Trials/2015 - Chiu et al.   2014   Proof of Concept Randomized Controlled Study of Co.pdf,04_Clinical_Trials,2015,,,Other_Collections/Chiu et al. - 2014 - Proof-of-Concept Randomized Controlled Study of Co.pdf
05_Khoi_San_Traditional/2016 - Khoisan Wind Hunting and Healing.pdf,05_Khoi_San_Traditional,2016,,Khoisan Wind: Hunting and Healing,"Other_Collections/Chris Low - Wind, Life, Health Anthropological and Historical-1.pdf"
05_Khoi_San_Traditional/2016 - Khoisan Wind Hunting and Healing_1.pdf,05_Khoi_San_Traditional,2016,,Khoisan Wind: Hunting and Healing,"Other_Collections/Chris Low - Wind, Life, Health Anthropological and Historical.pdf"
01_Sceletium_Pharmacology/2015 - Coetzee - High-mesembrine Sceletium extract (Trimesemine) is a monoamine releasing age....pdf,01_Sceletium_Pharmacology,2015,Dirk D. Coetzee,"High-mesembrine Sceletium extract (Trimesemine"") is a monoamine releasing agent, rather than only a selective serotonin reuptake inhibitor",Other_Collections/Coetzee et al. - 2016 - High-mesembrine Sceletium extract (Trimesemine™) i-1.pdf
01_Sceletium_Pharmacology/2015 - Coetzee - High-mesembrine Sceletium extract (Trimesemine) is a monoamine releasing age..._1.pdf,01_Sceletium_Pharmacology,2015,Dirk D. Coetzee,"High-mesembrine Sceletium extract (Trimesemine"") is a monoamine releasing agent, rather than only a selective serotonin reuptake inhibitor",Other_Collections/Coetzee et al. - 2016 - High-mesembrine Sceletium extract (Trimesemine™) i.pdf
02_Ethnopharmacology/2003 - PII 0378-8741(95)01337-7.pdf,02_Ethnopharmacology,2003,,PII: 0378-8741(95)01337-7,Other_Collections/De Smet - 1996 - Some ethnopharmacological notes on African halluci-1.pdf
02_Ethnopharmacology/2003 - PII 0378-8741(95)01337-7_1.pdf,02_Ethnopharmacology,2003,,PII: 0378-8741(95)01337-7,Other_Collections/De Smet - 1996 - Some ethnopharmacological notes on African halluci.pdf
"03_PDE4_Neurogenesis/2023 - Diamant - PDE4-inhibitors A novel, targeted therapy for obstructive airways disease.pdf",03_PDE4_Neurogenesis,2023,"Zuzana Diamant, Domenico Spina","PDE4-inhibitors: A novel, targeted therapy for obstructive airways disease","Other_Collections/Diamant and Spina - 2011 - PDE4-inhibitors A novel, targeted therapy for obs-1.pdf"
"03_PDE4_Neurogenesis/2023 - Diamant - PDE4-inhibitors A novel, targeted therapy for obstructive airways disease_1.pdf",03_PDE4_Neurogenesis,2023,"Zuzana Diamant, Domenico Spina","PDE4-inhibitors: A novel, targeted therapy for obstructive airways disease","Other_Collections/Diamant and Spina - 2011 - PDE4-inhibitors A novel, targeted therapy for obs.pdf"
01_Sceletium_Pharmacology/2005 - hki045 439..458.pdf,01_Sceletium_Pharmacology,2005,,hki045 439..458,Other_Collections/Digby - 2005 - Self-Medication and the Trade in Medicine within a-1.pdf
01_Sceletium_Pharmacology/2005 - hki045 439..458_1.pdf,01_Sceletium_Pharmacology,2005,,hki045 439..458,Other_Collections/Digby - 2005 - Self-Medication and the Trade in Medicine within a.pdf
01_Sceletium_Pharmacology/2015 - Dimpfel - Electropharmacogram of Sceletium tortuosum extract based on spectral local fi....pdf,01_Sceletium_Pharmacology,2015,Wilfried Dimpfel,Electropharmacogram of Sceletium tortuosum extract based on spectral local field power in conscious freely moving rats,Other_Collections/Dimpfel et al. - 2016 - Electropharmacogram of Sceletium tortuosum extract 2.pdf
01_Sceletium_Pharmacology/2015 - Dimpfel - Electropharmacogram of Sceletium tortuosum extract based on spectral local fi..._1.pdf,01_Sceletium_Pharmacology,2015,Wilfried Dimpfel,Electropharmacogram of Sceletium tortuosum extract based on spectral local field power in conscious freely moving rats,Other_Collections/Dimpfel et al. - 2016 - Electropharmacogram of Sceletium tortuosum extract-1.pdf
01_Sceletium_Pharmacology/2015 - Dimpfel - Electropharmacogram of Sceletium tortuosum extract based on spectral local fi..._1.pdf,01_Sceletium_Pharmacology,2015,Wilfried Dimpfel,Electropharmacogram of Sceletium tortuosum extract based on spectral local field power in conscious freely moving rats,Other_Collections/Dimpfel et al. - 2016 - Electropharmacogram of Sceletium tortuosum extract.pdf
04_Clinical_Trials/2016 - Dimpfel - Psychophysiological Effects of Zembrin® Using Quantitative EEG Source Density....pdf,04_Clinical_Trials,2016,"Wilfried Dimpfel, Nigel Gericke, Samir Suliman, Gwladys N. Chiegoua Dipah","Psychophysiological Effects of Zembrin® Using Quantitative EEG Source Density in Combination with Eye-Tracking in 60 Healthy Subjects. A Double-Blind, Randomized, Placebo-Controlled, 3-Armed Study with Parallel Design",Other_Collections/Dimpfel et al. - 2016 - Psychophysiological Effects of Zembrin&lt;sup&gt;& 3-1.pdf
04_Clinical_Trials/2016 - Dimpfel - Psychophysiological Effects of Zembrin® Using Quantitative EEG Source Density..._1.pdf,04_Clinical_Trials,2016,"Wilfried Dimpfel, Nigel Gericke, Samir Suliman, Gwladys N. Chiegoua Dipah","Psychophysiological Effects of Zembrin® Using Quantitative EEG Source Density in Combination with Eye-Tracking in 60 Healthy Subjects. A Double-Blind, Randomized, Placebo-Controlled, 3-Armed Study with Parallel Design",Other_Collections/Dimpfel et al. - 2016 - Psychophysiological Effects of Zembrin&lt;sup&gt;& 3.pdf
01_Sceletium_Pharmacology/2018 - Dimpfel - Effect of Zembrin® and four of its alkaloid constituents on electric excitabi....pdf,01_Sceletium_Pharmacology,2018,Wilfried Dimpfel,Effect of Zembrin® and four of its alkaloid constituents on electric excitability of the rat hippocampus,Other_Collections/Dimpfel et al. - 2018 - Effect of Zembrin ® and four of its alkaloid const-1.pdf
01_Sceletium_Pharmacology/2018 - Dimpfel - Effect of Zembrin® and four of its alkaloid constituents on electric excitabi..._1.pdf,01_Sceletium_Pharmacology,2018,Wilfried Dimpfel,Effect of Zembrin® and four of its alkaloid constituents on electric excitability of the rat hippocampus,Other_Collections/Dimpfel et al. - 2018 - Effect of Zembrin ® and four of its alkaloid const.pdf
01_Sceletium_Pharmacology/2019 - Druart - Emerging Roles of Complement in Psychiatric Disorders.pdf,01_Sceletium_Pharmacology,2019,Mélanie Druart,Emerging Roles of Complement in Psychiatric Disorders,Other_Collections/Druart and Le Magueresse - 2019 - Emerging Roles of Complement in Psychiatric Disord 2.pdf
01_Sceletium_Pharmacology/2019 - Druart - Emerging Roles of Complement in Psychiatric Disorders_1.pdf,01_Sceletium_Pharmacology,2019,Mélanie Druart,Emerging Roles of Complement in Psychiatric Disorders,Other_Collections/Druart and Le Magueresse - 2019 - Emerging Roles of Complement in Psychiatric Disord-1.pdf
01_Sceletium_Pharmacology/2019 - Druart - Emerging Roles of Complement in Psychiatric Disorders_1.pdf,01_Sceletium_Pharmacology,2019,Mélanie Druart,Emerging Roles of Complement in Psychiatric Disorders,Other_Collections/Druart and Le Magueresse - 2019 - Emerging Roles of Complement in Psychiatric Disord-2.pdf
01_Sceletium_Pharmacology/2019 - Druart - Emerging Roles of Complement in Psychiatric Disorders_1.pdf,01_Sceletium_Pharmacology,2019,Mélanie Druart,Emerging Roles of Complement in Psychiatric Disorders,Other_Collections/Druart and Le Magueresse - 2019 - Emerging Roles of Complement in Psychiatric Disord.pdf
01_Sceletium_Pharmacology/2020 - Faber - Variabilities in alkaloid concentration of Sceletium tortuosum (L.) N.E. Br i....pdf,01_Sceletium_Pharmacology,2020,Richard James Faber,Variabilities in alkaloid concentration of Sceletium tortuosum (L.) N.E. Br in response to different soilless growing media and fertigation regimes in hydroponics,Other_Collections/Faber et al. - 2020 - Variabilities in alkaloid concentration of Sceleti 2-1.pdf
01_Sceletium_Pharmacology/2020 - Faber - Variabilities in alkaloid concentration of Sceletium tortuosum (L.) N.E. Br i..._1.pdf,01_Sceletium_Pharmacology,2020,Richard James Faber,Variabilities in alkaloid concentration of Sceletium tortuosum (L.) N.E. Br in response to different soilless growing media and fertigation regimes in hydroponics,Other_Collections/Faber et al. - 2020 - Variabilities in alkaloid concentration of Sceleti 2.pdf
02_Ethnopharmacology/2016 - Treatment of anxiety and depression medicinal plants in retrospect.pdf,02_Ethnopharmacology,2016,,Treatment of anxiety and depression: medicinal plants in retrospect,Other_Collections/Fajemiroye et al. - 2016 - Treatment of anxiety and depression medicinal pla-1.pdf
02_Ethnopharmacology/2016 - Treatment of anxiety and depression medicinal plants in retrospect_1.pdf,02_Ethnopharmacology,2016,,Treatment of anxiety and depression: medicinal plants in retrospect,Other_Collections/Fajemiroye et al. - 2016 - Treatment of anxiety and depression medicinal pla.pdf
01_Sceletium_Pharmacology/2008 - doi10.1016j.jep.2008.07.043.pdf,01_Sceletium_Pharmacology,2008,,doi:10.1016/j.jep.2008.07.043,Other_Collections/Gericke and Viljoen - 2008 - Sceletium—A review update 2-1.pdf
01_Sceletium_Pharmacology/2008 - doi10.1016j.jep.2008.07.043_1.pdf,01_Sceletium_Pharmacology,2008,,doi:10.1016/j.jep.2008.07.043,Other_Collections/Gericke and Viljoen - 2008 - Sceletium—A review update 2.pdf
01_Sceletium_Pharmacology/2021 - Gericke - acute dose-ranging evaluation of the antidepressant properties of Sceletium t....pdf,01_Sceletium_Pharmacology,2021,Johané Gericke,An acute dose-ranging evaluation of the antidepressant properties of Sceletium tortuosum (Zembrin®) versus escitalopram in the Flinders Sensitive Line rat.,Other_Collections/Gericke et al. - 2022 - An acute dose-ranging evaluation of the antidepres-1.pdf
01_Sceletium_Pharmacology/2021 - Gericke - acute dose-ranging evaluation of the antidepressant properties of Sceletium t..._1.pdf,01_Sceletium_Pharmacology,2021,Johané Gericke,An acute dose-ranging evaluation of the antidepressant properties of Sceletium tortuosum (Zembrin®) versus escitalopram in the Flinders Sensitive Line rat.,Other_Collections/Gericke et al. - 2022 - An acute dose-ranging evaluation of the antidepres.pdf
01_Sceletium_Pharmacology/2023 - Gericke - Sceletium tortuosum -derived mesembrine significantly contributes to the anxi....pdf,01_Sceletium_Pharmacology,2023,Johané Gericke,"Sceletium tortuosum -derived mesembrine significantly contributes to the anxiolytic effect of Zembrin®, but its anti-depressant effect may require synergy of multiple plant constituents",Other_Collections/Gericke et al. - 2024 - Sceletium tortuosum-derived mesembrine significant-1.pdf
